"firm_name","n_offres","avg_req_exp","top_skill_req","avg_wage","sector_main","addr_dept_main"
"blue consulting",2,NA,"deep learning",122787.5,NA,75
"bnp",8,0,"équipe",NA,"Banque, Assurance, Finance",93
"bollore group",1,NA,"excel",NA,NA,92
"boston consulting group",2,NA,"python",NA,NA,75
"botify",2,NA,"collaboration",NA,"Services aux Entreprises",75
"boulanger",1,7,"reporting",52500,"Distribution, Commerce de gros",59
"boursorama",2,NA,"python",NA,NA,92
"bouygues",8,1,"équipe",NA,"BTP",92
"bpce",18,7,"équipe",NA,NA,75
"bpgrandouest",1,NA,"bases de donnée",NA,NA,44
"brainpower",1,NA,"optimisation",NA,"Secteur informatique, ESN",38
"brgm",5,0,"équipe",NA,NA,NA
"brittany ferries",1,1,"prévision",NA,"Tourisme, Hôtellerie, Loisirs",29
"bsport",7,NA,"optimisation",NA,NA,NA
"bureau veritas",3,0,"communication",NA,"Secteur informatique, ESN",69
"business & decision",21,7,"équipe",NA,"Secteur informatique, ESN",31
"but",2,NA,"équipe",NA,"Distribution, Commerce de gros",77
"cafpi",1,0,"intelligence artificielle",NA,"Banque, Assurance, Finance",64
"caisse d epargne",4,NA,"sql",NA,NA,33
"caisse des depots",3,NA,"équipe",NA,NA,75
"caisse des depots et consignations",1,NA,"prévision",NA,NA,75
"canal plus",1,7,"python",NA,"Média, Internet, Communication",92
"capgemini",63,1,"équipe",NA,NA,75
"capital management fund",2,NA,"deep learning",NA,NA,75
"cardiologs",2,0,"deep learning",NA,"Secteur informatique, ESN",75
"carrefour",21,0,"équipe",NA,"Distribution, Commerce de gros",91
"ccpa group",1,NA,"résolution de problèmes",NA,NA,NA
"cdiscount",7,1,"équipe",NA,"Distribution, Commerce de gros",33
"cea",1,NA,"deep learning",NA,NA,91
"ceb",1,NA,"équipe",78204,NA,75
"cegid",1,NA,"équipe",47000,NA,69
"celad",5,7,"python",40000,"Secteur informatique, ESN",92
"centre hospitalier departemental de vendee",1,NA,"deep learning",NA,NA,85
"centre hospitalier departemental vendee site de la roche sur yon",1,NA,"deep learning",NA,NA,85
"cereg territoires",1,NA,"python",29000,NA,44
"certideal",2,0,"équipe",NA,"Distribution, Commerce de gros",92
"cgi",68,1.6,"excel",NA,"Secteur informatique, ESN",31
"chanel",3,NA,"deep learning",NA,NA,75
"chaps vision",2,NA,"communication",NA,NA,75
"charli group",1,NA,"spark",NA,NA,92
"chd vendee   drh",1,NA,"deep learning",NA,NA,85
"chela+",1,NA,"base de donnée",NA,NA,94
"cherche susan desesperement",1,NA,"azure",NA,NA,75
"chr numerique",1,1,"équipe",NA,"Secteur informatique, ESN",29
"chronopost",1,NA,"python",NA,NA,75
